"Province","Population","Population (1993) (People)","Colour"
"Azua","","199684",""
"Bahoruco","","105206",""
"Barahona","","164835",""
"Dajabon","","68606",""
"Distrito Nacional","","2193046",""
"Duarte","","281879",""
"El Seibo","","96770",""
"Espaillat","","202376",""
"Hato Mayor","","80074",""
"Independencia","","39541",""
"La Altagracia","","115685",""
"Elias Pina","","64641",""
"La Romana","","166550",""
"La Vega","","344721",""
"Maria Trinidad Sanchez","","124957",""
"Monsenor Nouel","","149318",""
"Monte Cristi","","95705",""
"Monte Plata","","167148",""
"Pedernales","","18054",""
"Peravia","","201851",""
"Puerto Plata","","261485",""
"Hermanas Mirabal","","101810",""
"Samana","","75253",""
"San Cristobal","","420820",""
"San Jose de Ocoa","","NA",""
"San Juan","","252637",""
"San Pedro de Macoris","","212368",""
"Sanchez Ramirez","","163166",""
"Santiago","","710803",""
"Santiago Rodriguez","","62144",""
"Santo Domingo","","NA",""
"Valverde","","152257",""