"Country","","Population","Colour"
"Afghanistan","","","#aaaaaa"
"Aland","","","#aaaaaa"
"Albania","","","#aaaaaa"
"Algeria","","","#aaaaaa"
"American Samoa","","","#aaaaaa"
"Andorra","","","#aaaaaa"
"Angola","","","#aaaaaa"
"Anguilla","","","#aaaaaa"
"Antarctica","","","#aaaaaa"
"Antigua and Barb.","","","#aaaaaa"
"Argentina","","","#aaaaaa"
"Armenia","","","#aaaaaa"
"Aruba","","","#aaaaaa"
"Australia","","","#aaaaaa"
"Austria","","","#aaaaaa"
"Azerbaijan","","","#aaaaaa"
"Bahamas","","","#aaaaaa"
"Bahrain","","","#aaaaaa"
"Bangladesh","","","#aaaaaa"
"Barbados","","","#aaaaaa"
"Belarus","","","#aaaaaa"
"Belgium","","","#aaaaaa"
"Belize","","","#aaaaaa"
"Benin","","","#aaaaaa"
"Bermuda","","","#aaaaaa"
"Bhutan","","","#aaaaaa"
"Bolivia","","","#aaaaaa"
"Bosnia and Herz.","","","#aaaaaa"
"Botswana","","","#aaaaaa"
"Br. Indian Ocean Ter.","","","#aaaaaa"
"Brazil","","","#aaaaaa"
"British Virgin Is.","","","#aaaaaa"
"Brunei","","","#aaaaaa"
"Bulgaria","","","#aaaaaa"
"Burkina Faso","","","#aaaaaa"
"Burundi","","","#aaaaaa"
"Cabo Verde","","","#aaaaaa"
"Cambodia","","","#aaaaaa"
"Cameroon","","","#aaaaaa"
"Canada","","","#aaaaaa"
"Cayman Is.","","","#aaaaaa"
"Central African Rep.","","","#aaaaaa"
"Chad","","","#aaaaaa"
"Chile","","","#aaaaaa"
"China","","","#aaaaaa"
"Colombia","","","#aaaaaa"
"Comoros","","","#aaaaaa"
"Congo","","","#aaaaaa"
"Cook Is.","","","#aaaaaa"
"Costa Rica","","","#aaaaaa"
"Cote d'Ivoire","","","#aaaaaa"
"Croatia","","","#aaaaaa"
"Cuba","","","#aaaaaa"
"Curacao","","","#aaaaaa"
"Cyprus","","","#aaaaaa"
"Czechia","","","#aaaaaa"
"Dem. Rep. Congo","","","#aaaaaa"
"Denmark","","","#aaaaaa"
"Djibouti","","","#aaaaaa"
"Dominica","","","#aaaaaa"
"Dominican Rep.","","","#aaaaaa"
"Ecuador","","","#aaaaaa"
"Egypt","","","#aaaaaa"
"El Salvador","","","#aaaaaa"
"Eq. Guinea","","","#aaaaaa"
"Eritrea","","","#aaaaaa"
"Estonia","","","#aaaaaa"
"eSwatini","","","#aaaaaa"
"Ethiopia","","","#aaaaaa"
"Faeroe Is.","","","#aaaaaa"
"Falkland Is.","","","#aaaaaa"
"Fiji","","","#aaaaaa"
"Finland","","","#aaaaaa"
"Fr. Polynesia","","","#aaaaaa"
"Fr. S. Antarctic Lands","","","#aaaaaa"
"France","","","#aaaaaa"
"Gabon","","","#aaaaaa"
"Gambia","","","#aaaaaa"
"Georgia","","","#aaaaaa"
"Germany","","","#aaaaaa"
"Ghana","","","#aaaaaa"
"Gibraltar","","","#aaaaaa"
"Greece","","","#aaaaaa"
"Greenland","","","#aaaaaa"
"Grenada","","","#aaaaaa"
"Guam","","","#aaaaaa"
"Guatemala","","","#aaaaaa"
"Guernsey","","","#aaaaaa"
"Guinea","","","#aaaaaa"
"Guinea-Bissau","","","#aaaaaa"
"Guyana","","","#aaaaaa"
"Haiti","","","#aaaaaa"
"Heard I. and McDonald Is.","","","#aaaaaa"
"Honduras","","","#aaaaaa"
"Hong Kong","","","#aaaaaa"
"Hungary","","","#aaaaaa"
"Iceland","","","#aaaaaa"
"India","","","#aaaaaa"
"Indonesia","","","#aaaaaa"
"Iran","","","#aaaaaa"
"Iraq","","","#aaaaaa"
"Ireland","","","#aaaaaa"
"Isle of Man","","","#aaaaaa"
"Israel","","","#aaaaaa"
"Italy","","","#aaaaaa"
"Jamaica","","","#aaaaaa"
"Japan","","","#aaaaaa"
"Jersey","","","#aaaaaa"
"Jordan","","","#aaaaaa"
"Kazakhstan","","","#aaaaaa"
"Kenya","","","#aaaaaa"
"Kiribati","","","#aaaaaa"
"Kosovo","","","#aaaaaa"
"Kuwait","","","#aaaaaa"
"Kyrgyzstan","","","#aaaaaa"
"Laos","","","#aaaaaa"
"Latvia","","","#aaaaaa"
"Lebanon","","","#aaaaaa"
"Lesotho","","","#aaaaaa"
"Liberia","","","#aaaaaa"
"Libya","","","#aaaaaa"
"Liechtenstein","","","#aaaaaa"
"Lithuania","","","#aaaaaa"
"Luxembourg","","","#aaaaaa"
"Macao","","","#aaaaaa"
"Macedonia","","","#aaaaaa"
"Madagascar","","","#aaaaaa"
"Malawi","","","#aaaaaa"
"Malaysia","","","#aaaaaa"
"Maldives","","","#aaaaaa"
"Mali","","","#aaaaaa"
"Malta","","","#aaaaaa"
"Marshall Is.","","","#aaaaaa"
"Mauritania","","","#aaaaaa"
"Mauritius","","","#aaaaaa"
"Mexico","","","#aaaaaa"
"Micronesia","","","#aaaaaa"
"Moldova","","","#aaaaaa"
"Monaco","","","#aaaaaa"
"Mongolia","","","#aaaaaa"
"Montenegro","","","#aaaaaa"
"Montserrat","","","#aaaaaa"
"Morocco","","","#aaaaaa"
"Mozambique","","","#aaaaaa"
"Myanmar","","","#aaaaaa"
"N. Cyprus","","","#aaaaaa"
"N. Mariana Is.","","","#aaaaaa"
"Namibia","","","#aaaaaa"
"Nauru","","","#aaaaaa"
"Nepal","","","#aaaaaa"
"Netherlands","","","#aaaaaa"
"New Caledonia","","","#aaaaaa"
"New Zealand","","","#aaaaaa"
"Nicaragua","","","#aaaaaa"
"Niger","","","#aaaaaa"
"Nigeria","","","#aaaaaa"
"Niue","","","#aaaaaa"
"Norfolk Island","","","#aaaaaa"
"North Korea","","","#aaaaaa"
"Norway","","","#aaaaaa"
"Oman","","","#aaaaaa"
"Pakistan","","","#aaaaaa"
"Palau","","","#aaaaaa"
"Palestine","","","#aaaaaa"
"Panama","","","#aaaaaa"
"Papua New Guinea","","","#aaaaaa"
"Paraguay","","","#aaaaaa"
"Peru","","","#aaaaaa"
"Philippines","","","#aaaaaa"
"Pitcairn Is.","","","#aaaaaa"
"Poland","","","#aaaaaa"
"Portugal","","","#aaaaaa"
"Puerto Rico","","","#aaaaaa"
"Qatar","","","#aaaaaa"
"Romania","","","#aaaaaa"
"Russia","","","#aaaaaa"
"Rwanda","","","#aaaaaa"
"S. Geo. and the Is.","","","#aaaaaa"
"S. Sudan","","","#aaaaaa"
"Saint Helena","","","#aaaaaa"
"Saint Lucia","","","#aaaaaa"
"Samoa","","","#aaaaaa"
"San Marino","","","#aaaaaa"
"Sao Tome and Principe","","","#aaaaaa"
"Saudi Arabia","","","#aaaaaa"
"Senegal","","","#aaaaaa"
"Serbia","","","#aaaaaa"
"Seychelles","","","#aaaaaa"
"Siachen Glacier","","","#aaaaaa"
"Sierra Leone","","","#aaaaaa"
"Singapore","","","#aaaaaa"
"Sint Maarten","","","#aaaaaa"
"Slovakia","","","#aaaaaa"
"Slovenia","","","#aaaaaa"
"Solomon Is.","","","#aaaaaa"
"Somalia","","","#aaaaaa"
"Somaliland","","","#aaaaaa"
"South Africa","","","#aaaaaa"
"South Korea","","","#aaaaaa"
"Spain","","","#aaaaaa"
"Sri Lanka","","","#aaaaaa"
"St-Barthelemy","","","#aaaaaa"
"St-Martin","","","#aaaaaa"
"St. Kitts and Nevis","","","#aaaaaa"
"St. Pierre and Miquelon","","","#aaaaaa"
"St. Vin. and Gren.","","","#aaaaaa"
"Sudan","","","#aaaaaa"
"Suriname","","","#aaaaaa"
"Sweden","","","#aaaaaa"
"Switzerland","","","#aaaaaa"
"Syria","","","#aaaaaa"
"Taiwan","","","#aaaaaa"
"Tajikistan","","","#aaaaaa"
"Tanzania","","","#aaaaaa"
"Thailand","","","#aaaaaa"
"Timor-Leste","","","#aaaaaa"
"Togo","","","#aaaaaa"
"Tonga","","","#aaaaaa"
"Trinidad and Tobago","","","#aaaaaa"
"Tunisia","","","#aaaaaa"
"Turkey","","","#aaaaaa"
"Turkmenistan","","","#aaaaaa"
"Turks and Caicos Is.","","","#aaaaaa"
"Tuvalu","","","#aaaaaa"
"U.S. Minor Outlying Is.","","","#aaaaaa"
"U.S. Virgin Is.","","","#aaaaaa"
"Uganda","","","#aaaaaa"
"Ukraine","","","#aaaaaa"
"United Arab Emirates","","","#aaaaaa"
"United Kingdom","","","#aaaaaa"
"United States of America","","","#aaaaaa"
"Uruguay","","","#aaaaaa"
"Uzbekistan","","","#aaaaaa"
"Vanuatu","","","#aaaaaa"
"Vatican","","","#aaaaaa"
"Venezuela","","","#aaaaaa"
"Vietnam","","","#aaaaaa"
"W. Sahara","","","#aaaaaa"
"Wallis and Futuna Is.","","","#aaaaaa"
"Yemen","","","#aaaaaa"
"Zambia","","","#aaaaaa"
"Zimbabwe","","","#aaaaaa"